,RF_Run_0_CV_0,RF_Run_0_CV_1,RF_Run_0_CV_2,RF_Run_0_CV_3,RF_Run_0_CV_4,RF_Run_1_CV_0,RF_Run_1_CV_1,RF_Run_1_CV_2,RF_Run_1_CV_3,RF_Run_1_CV_4,RF_Run_2_CV_0,RF_Run_2_CV_1,RF_Run_2_CV_2,RF_Run_2_CV_3,RF_Run_2_CV_4,RF_Run_3_CV_0,RF_Run_3_CV_1,RF_Run_3_CV_2,RF_Run_3_CV_3,RF_Run_3_CV_4,RF_Run_4_CV_0,RF_Run_4_CV_1,RF_Run_4_CV_2,RF_Run_4_CV_3,RF_Run_4_CV_4
45,OTU_B_121783,OTU_F_30854,OTU_B_57075,OTU_B_67783,OTU_B_27711,OTU_F_31350,OTU_F_30502,OTU_F_25850,OTU_F_31566,OTU_F_138012,OTU_B_553579,OTU_B_54523,OTU_F_30429,OTU_B_67783,OTU_F_247,OTU_B_73408,OTU_F_247,OTU_B_26418,OTU_F_30502,OTU_F_25540,OTU_B_54523,OTU_F_1551,OTU_B_23956,OTU_F_31566,OTU_F_30448
46,OTU_B_27711,OTU_B_23956,OTU_B_23956,OTU_F_247,OTU_F_1551,OTU_F_138012,OTU_F_30486,OTU_B_26279,OTU_F_55643,OTU_B_67783,OTU_B_22182,OTU_F_30429,OTU_B_26279,OTU_B_21454,OTU_B_140508,OTU_F_30509,OTU_F_40614,OTU_F_138012,OTU_B_21434,OTU_F_62992,OTU_B_23956,OTU_F_25540,OTU_B_42446,OTU_B_26279,OTU_F_1551
47,OTU_F_30486,OTU_F_25540,OTU_F_15700,OTU_B_140508,OTU_F_31350,OTU_B_73408,OTU_B_553579,OTU_F_31350,OTU_F_40614,OTU_F_1551,OTU_F_30854,OTU_F_62992,OTU_B_54523,OTU_F_25053,OTU_B_21438,OTU_F_30429,OTU_B_67783,OTU_B_29197,OTU_B_140508,OTU_B_26279,OTU_B_21454,OTU_B_73408,OTU_B_22182,OTU_F_40614,OTU_B_553579
48,OTU_F_55643,OTU_F_40614,OTU_B_54523,OTU_F_30486,OTU_F_30448,OTU_B_27711,OTU_B_26279,OTU_B_21454,OTU_B_29197,OTU_F_62992,OTU_F_31566,OTU_B_29197,OTU_B_38079,OTU_F_52191,OTU_B_42446,OTU_F_40080,OTU_F_122647,OTU_F_68256,OTU_B_67783,OTU_B_27711,OTU_F_40080,OTU_F_30407,OTU_B_29197,OTU_B_27711,OTU_F_25540
49,OTU_B_26279,OTU_F_25053,OTU_F_1551,OTU_F_97887,OTU_B_23956,OTU_F_30407,OTU_B_73408,OTU_F_30429,OTU_B_23956,OTU_B_27711,OTU_B_140508,OTU_B_67783,OTU_F_30394,OTU_F_30448,OTU_F_30407,OTU_F_138012,OTU_F_50870,OTU_B_73408,OTU_F_25053,OTU_B_29197,OTU_B_731894,OTU_F_30854,OTU_F_55643,OTU_F_30429,OTU_B_21454
50,OTU_F_15700,OTU_F_31350,OTU_F_138012,OTU_B_731894,OTU_B_29197,OTU_F_38826,OTU_B_21434,OTU_B_73408,OTU_B_73408,OTU_F_30854,OTU_F_54660,OTU_B_27711,OTU_F_25053,OTU_B_57075,OTU_F_82508,OTU_F_38826,OTU_B_553579,OTU_B_140508,OTU_B_57075,OTU_B_54523,OTU_F_38826,OTU_F_38826,OTU_F_30486,OTU_B_54523,OTU_F_97887
51,OTU_B_54523,OTU_F_30394,OTU_F_25053,OTU_B_54487,OTU_B_54523,OTU_B_21454,OTU_F_30854,OTU_B_27711,OTU_B_26279,OTU_B_26279,OTU_B_23956,OTU_F_99195,OTU_B_29197,OTU_F_1551,OTU_B_21454,OTU_F_1551,OTU_F_40080,OTU_F_30486,OTU_F_25540,OTU_B_553579,OTU_F_52191,OTU_B_21457,OTU_F_1435,OTU_B_73408,OTU_F_30854
52,OTU_B_21454,OTU_B_26279,OTU_B_27711,OTU_B_73408,OTU_B_21454,OTU_B_54487,OTU_B_54523,OTU_B_140508,OTU_F_30854,OTU_B_57075,OTU_B_54523,OTU_B_22182,OTU_B_42446,OTU_B_27711,OTU_F_38826,OTU_B_27711,OTU_B_22182,OTU_B_26279,OTU_B_54523,OTU_F_30429,OTU_B_57075,OTU_B_54523,OTU_F_25540,OTU_F_62992,OTU_F_30407
53,OTU_F_30407,OTU_B_54523,OTU_F_1435,OTU_F_38826,OTU_F_25540,OTU_F_30394,OTU_B_21454,OTU_F_1435,OTU_B_22182,OTU_F_30502,OTU_F_25053,OTU_F_30502,OTU_F_30448,OTU_F_30486,OTU_F_31350,OTU_F_52191,OTU_F_25053,OTU_B_22182,OTU_F_38826,OTU_B_73408,OTU_F_25053,OTU_B_26418,OTU_F_1551,OTU_F_30854,OTU_F_30429
54,OTU_B_73408,OTU_F_38826,OTU_B_21454,OTU_F_30394,OTU_F_15700,OTU_B_26418,OTU_B_64987,OTU_B_67783,OTU_F_1551,OTU_F_15700,OTU_F_30942,OTU_B_26418,OTU_F_68259,OTU_F_40080,OTU_F_1435,OTU_B_26279,OTU_B_26279,OTU_F_15700,OTU_F_40080,OTU_F_247,OTU_B_73408,OTU_F_138012,OTU_F_25053,OTU_F_15700,OTU_B_54523
55,OTU_F_1551,OTU_F_30942,OTU_B_140508,OTU_B_21454,OTU_F_122647,OTU_F_62992,OTU_F_97887,OTU_F_138012,OTU_F_138012,OTU_B_553579,OTU_B_26279,OTU_F_103950,OTU_F_15700,OTU_F_15700,OTU_B_23956,OTU_B_42446,OTU_F_62992,OTU_F_1551,OTU_B_21454,OTU_B_57059,OTU_B_64987,OTU_B_42446,OTU_B_67783,OTU_F_30486,OTU_F_62992
56,OTU_F_38826,OTU_B_140508,OTU_F_30854,OTU_F_30429,OTU_B_38079,OTU_F_30448,OTU_F_1435,OTU_F_97887,OTU_B_140508,OTU_F_25053,OTU_F_55643,OTU_B_140508,OTU_B_27711,OTU_F_55643,OTU_F_68256,OTU_F_30854,OTU_F_30854,OTU_B_21454,OTU_F_82508,OTU_F_25053,OTU_F_97887,OTU_F_122647,OTU_F_97887,OTU_F_97887,OTU_F_40080
57,OTU_B_23956,OTU_F_1435,OTU_F_97887,OTU_B_23956,OTU_F_97887,OTU_B_553579,OTU_B_42446,OTU_F_103950,OTU_B_27711,OTU_B_23956,OTU_F_1551,OTU_F_25540,OTU_F_40614,OTU_B_73408,OTU_F_25540,OTU_F_55643,OTU_F_15700,OTU_F_30407,OTU_B_73408,OTU_F_30854,OTU_F_1551,OTU_B_140508,OTU_F_15700,OTU_B_23956,OTU_B_38079
58,OTU_B_29197,OTU_B_22182,OTU_F_54660,OTU_B_57059,OTU_F_30429,OTU_F_1551,OTU_B_27711,OTU_F_62992,OTU_B_54523,OTU_F_97887,OTU_F_31350,OTU_B_42446,OTU_F_97887,OTU_B_26279,OTU_B_54523,OTU_F_50873,OTU_F_30502,OTU_B_54523,OTU_F_30854,OTU_B_23956,OTU_B_42446,OTU_F_62992,OTU_F_30502,OTU_F_25540,OTU_B_23956
59,OTU_B_38079,OTU_B_553579,OTU_B_26418,OTU_B_553579,OTU_B_42446,OTU_F_30429,OTU_F_30429,OTU_B_42446,OTU_B_553579,OTU_B_73408,OTU_B_57059,OTU_F_30854,OTU_F_54660,OTU_F_30502,OTU_B_553579,OTU_B_38079,OTU_F_55643,OTU_B_57059,OTU_B_42446,OTU_B_21454,OTU_F_31350,OTU_F_15700,OTU_F_40080,OTU_F_30942,OTU_F_31350
60,OTU_F_30448,OTU_B_26418,OTU_F_40080,OTU_F_30854,OTU_F_1435,OTU_F_30854,OTU_B_23956,OTU_F_25540,OTU_F_25540,OTU_B_38079,OTU_B_42446,OTU_F_30486,OTU_F_38826,OTU_F_30942,OTU_F_30486,OTU_F_25540,OTU_F_138012,OTU_B_27711,OTU_F_110078,OTU_F_138012,OTU_F_62992,OTU_B_26279,OTU_B_21454,OTU_F_247,OTU_B_73408
61,OTU_F_30854,OTU_B_38079,OTU_B_26279,OTU_F_25540,OTU_B_57059,OTU_B_42446,OTU_F_40080,OTU_F_40080,OTU_F_130819,OTU_F_38826,OTU_F_40080,OTU_B_23956,OTU_F_40080,OTU_F_54660,OTU_F_97887,OTU_F_30448,OTU_F_31350,OTU_B_38079,OTU_F_30942,OTU_B_42446,OTU_F_30486,OTU_F_97887,OTU_F_30942,OTU_F_40080,OTU_B_42446
62,OTU_F_30502,OTU_B_73408,OTU_F_21449,OTU_F_40614,OTU_F_55643,OTU_B_23956,OTU_F_62992,OTU_F_38826,OTU_B_42446,OTU_B_21454,OTU_B_73408,OTU_F_1551,OTU_F_1551,OTU_F_30854,OTU_F_138012,OTU_F_15700,OTU_B_416914,OTU_F_38826,OTU_F_31350,OTU_F_30486,OTU_B_553579,OTU_B_29197,OTU_B_26279,OTU_F_110078,OTU_F_50873
63,OTU_F_30429,OTU_F_54660,OTU_B_73408,OTU_B_26418,OTU_B_553579,OTU_F_30502,OTU_F_1551,OTU_F_55643,OTU_F_30942,OTU_F_31350,OTU_F_138012,OTU_B_57059,OTU_F_21449,OTU_F_38826,OTU_F_94989,OTU_F_110078,OTU_F_38826,OTU_F_62992,OTU_F_30429,OTU_F_94989,OTU_F_110078,OTU_F_31350,OTU_B_57059,OTU_F_68259,OTU_F_103950
64,OTU_F_103950,OTU_F_103950,OTU_B_59739,OTU_F_15700,OTU_F_30486,OTU_F_110078,OTU_F_99195,OTU_F_15700,OTU_F_136641,OTU_F_50870,OTU_F_110078,OTU_F_30942,OTU_B_73408,OTU_B_42446,OTU_B_26279,OTU_F_103950,OTU_F_103950,OTU_F_110078,OTU_F_97887,OTU_F_1551,OTU_F_30854,OTU_F_30502,OTU_F_30854,OTU_B_42446,OTU_F_68259
65,OTU_F_40080,OTU_F_94989,OTU_B_38079,OTU_B_416914,OTU_F_54660,OTU_F_50873,OTU_F_38826,OTU_B_23956,OTU_F_1435,OTU_F_54660,OTU_F_1435,OTU_F_138012,OTU_F_30854,OTU_B_38079,OTU_F_40080,OTU_F_68259,OTU_F_68259,OTU_F_68259,OTU_F_30407,OTU_F_122647,OTU_F_38555,OTU_F_99195,OTU_F_38826,OTU_F_30502,OTU_F_55643
66,OTU_F_138012,OTU_F_30486,OTU_F_38826,OTU_B_42446,OTU_B_26279,OTU_F_54660,OTU_F_15700,OTU_F_68259,OTU_B_416914,OTU_B_42446,OTU_B_416914,OTU_B_38079,OTU_F_94989,OTU_F_97887,OTU_F_122647,OTU_F_97887,OTU_B_59739,OTU_F_30502,OTU_F_55643,OTU_F_103950,OTU_F_15700,OTU_B_553579,OTU_F_110078,OTU_F_103950,OTU_F_30502
67,OTU_F_94989,OTU_B_416914,OTU_F_30407,OTU_F_136641,OTU_F_94989,OTU_F_1435,OTU_F_94989,OTU_F_30486,OTU_F_103950,OTU_F_30407,OTU_B_38079,OTU_F_31301,OTU_F_103950,OTU_F_1435,OTU_F_50873,OTU_F_31350,OTU_F_54660,OTU_B_42446,OTU_F_1551,OTU_F_40080,OTU_F_108778,OTU_B_57059,OTU_F_31350,OTU_F_55643,OTU_F_30486
68,OTU_B_416914,OTU_F_30407,OTU_B_42446,OTU_F_103950,OTU_F_62992,OTU_B_38079,OTU_F_21449,OTU_B_553579,OTU_B_59739,OTU_F_52653,OTU_F_15700,OTU_F_1435,OTU_B_26418,OTU_B_553579,OTU_B_57059,OTU_F_30407,OTU_F_1435,OTU_F_97887,OTU_F_15700,OTU_B_38079,OTU_F_50873,OTU_F_30486,OTU_F_108778,OTU_F_1551,OTU_F_138012
69,OTU_B_26418,OTU_F_1551,OTU_F_30429,OTU_F_54660,OTU_F_103950,OTU_F_55643,OTU_F_30407,OTU_B_57059,OTU_F_31350,OTU_F_40080,OTU_F_30429,OTU_F_97887,OTU_F_31350,OTU_F_68259,OTU_B_38079,OTU_F_54660,OTU_F_38555,OTU_F_30942,OTU_B_416914,OTU_F_99195,OTU_B_38079,OTU_F_68259,OTU_B_140508,OTU_B_57059,OTU_F_21449
70,OTU_F_50873,OTU_B_42446,OTU_F_50870,OTU_F_68259,OTU_F_138012,OTU_F_94989,OTU_F_122647,OTU_F_1551,OTU_F_38826,OTU_B_140508,OTU_F_97887,OTU_F_40080,OTU_F_30407,OTU_F_50870,OTU_F_129651,OTU_F_1435,OTU_B_23956,OTU_F_30925,OTU_B_38079,OTU_F_107945,OTU_F_30942,OTU_B_59739,OTU_B_553579,OTU_F_30925,OTU_F_54660
71,OTU_F_68259,OTU_F_40080,OTU_F_55643,OTU_B_38079,OTU_F_38826,OTU_F_30486,OTU_F_110078,OTU_F_30854,OTU_B_38079,OTU_F_50873,OTU_B_26418,OTU_F_31350,OTU_F_108778,OTU_F_52653,OTU_F_1551,OTU_B_59739,OTU_F_52656,OTU_F_54660,OTU_F_103950,OTU_F_30502,OTU_F_52653,OTU_B_38079,OTU_F_62992,OTU_F_38826,OTU_F_1435
72,OTU_F_30942,OTU_F_68259,OTU_F_62992,OTU_F_122647,OTU_F_40080,OTU_B_57059,OTU_F_68259,OTU_F_50873,OTU_F_50873,OTU_B_57059,OTU_F_122647,OTU_F_52653,OTU_F_52653,OTU_B_26418,OTU_B_26418,OTU_B_57059,OTU_F_25540,OTU_B_23956,OTU_B_57059,OTU_F_55643,OTU_F_122647,OTU_F_103950,OTU_F_30407,OTU_B_38079,OTU_B_26418
73,OTU_F_110078,OTU_B_57059,OTU_F_103950,OTU_F_62992,OTU_F_68259,OTU_B_26279,OTU_B_26418,OTU_F_94989,OTU_F_62992,OTU_F_110078,OTU_F_38555,OTU_B_26279,OTU_F_62992,OTU_B_57059,OTU_F_30942,OTU_F_50870,OTU_F_108778,OTU_F_31350,OTU_F_50870,OTU_F_31301,OTU_F_103950,OTU_F_30925,OTU_F_107945,OTU_B_553579,OTU_B_416914
74,OTU_B_57059,OTU_F_52653,OTU_F_68259,OTU_F_50873,OTU_F_30407,OTU_F_103950,OTU_F_38555,OTU_F_108778,OTU_F_97887,OTU_B_416914,OTU_F_94989,OTU_F_110078,OTU_B_59739,OTU_F_110078,OTU_F_15700,OTU_F_21449,OTU_B_21454,OTU_F_55643,OTU_F_62992,OTU_F_15700,OTU_F_1435,OTU_F_50873,OTU_F_103950,OTU_B_26418,OTU_F_15700
75,OTU_F_54660,OTU_F_15700,OTU_F_30925,OTU_F_110078,OTU_B_26418,OTU_B_416914,OTU_F_30925,OTU_F_54660,OTU_F_110078,OTU_B_26418,OTU_F_130819,OTU_F_55643,OTU_F_107945,OTU_F_50873,OTU_F_55643,OTU_F_30942,OTU_F_1551,OTU_B_416914,OTU_F_94989,OTU_F_108778,OTU_B_416914,OTU_B_416914,OTU_F_54660,OTU_B_59739,OTU_B_26279
76,OTU_B_42446,OTU_F_107945,OTU_B_416914,OTU_F_1551,OTU_F_76464,OTU_F_122647,OTU_F_30942,OTU_F_30407,OTU_F_122647,OTU_F_136641,OTU_F_68259,OTU_F_30407,OTU_F_122647,OTU_F_108778,OTU_F_108778,OTU_F_130819,OTU_F_30942,OTU_F_94989,OTU_F_68259,OTU_F_31350,OTU_F_30429,OTU_B_23956,OTU_F_99195,OTU_F_52653,OTU_F_30942
77,OTU_F_108778,OTU_F_50873,OTU_F_30395,OTU_F_30407,OTU_F_99195,OTU_F_15700,OTU_F_107945,OTU_F_110078,OTU_F_68259,OTU_F_30553,OTU_F_25540,OTU_F_50873,OTU_B_553579,OTU_B_59739,OTU_F_99195,OTU_B_26418,OTU_B_42446,OTU_F_52653,OTU_B_26279,OTU_B_26418,OTU_F_30553,OTU_F_40080,OTU_F_30553,OTU_F_107945,OTU_F_99195
78,OTU_F_99195,OTU_F_110078,OTU_F_52653,OTU_F_55643,OTU_F_108778,OTU_F_30553,OTU_F_103950,OTU_F_122647,OTU_F_50870,OTU_F_122647,OTU_F_50873,OTU_F_38826,OTU_F_30486,OTU_F_30429,OTU_F_30553,OTU_F_108778,OTU_B_38079,OTU_F_50873,OTU_F_136641,OTU_F_68259,OTU_B_57059,OTU_F_30942,OTU_B_416914,OTU_F_108778,OTU_F_108778
79,OTU_F_1435,OTU_F_50870,OTU_F_30942,OTU_F_50870,OTU_F_107945,OTU_F_40080,OTU_F_31350,OTU_F_30925,OTU_F_30502,OTU_F_103950,OTU_F_50870,OTU_B_416914,OTU_B_416914,OTU_B_123159,OTU_F_38555,OTU_F_30486,OTU_F_136641,OTU_F_38555,OTU_F_30553,OTU_F_21449,OTU_B_26418,OTU_F_38555,OTU_B_38079,OTU_F_30395,OTU_F_38826
80,OTU_F_30925,OTU_F_21449,OTU_F_110078,OTU_F_40080,OTU_F_30942,OTU_F_21449,OTU_B_57059,OTU_F_99195,OTU_F_94989,OTU_F_31301,OTU_F_37473,OTU_F_94989,OTU_F_55643,OTU_F_103950,OTU_F_68259,OTU_B_553579,OTU_B_26418,OTU_F_103950,OTU_F_52653,OTU_F_129651,OTU_F_50870,OTU_F_50870,OTU_F_37473,OTU_F_1435,OTU_F_129651
81,OTU_B_59739,OTU_F_55643,OTU_F_130819,OTU_F_129651,OTU_F_129651,OTU_F_50870,OTU_F_50873,OTU_F_21449,OTU_B_26418,OTU_F_107945,OTU_F_30925,OTU_F_52656,OTU_B_57059,OTU_F_94989,OTU_F_103950,OTU_F_122647,OTU_B_73408,OTU_F_40080,OTU_F_1435,OTU_F_38826,OTU_F_94989,OTU_F_94989,OTU_F_50873,OTU_F_130819,OTU_B_57059
82,OTU_F_136641,OTU_F_97887,OTU_F_99195,OTU_F_38555,OTU_B_59739,OTU_F_68259,OTU_F_54660,OTU_B_38079,OTU_F_21449,OTU_F_72950,OTU_F_52653,OTU_F_30925,OTU_F_99195,OTU_F_136641,OTU_F_37473,OTU_F_99195,OTU_F_50873,OTU_F_31301,OTU_B_26418,OTU_F_54660,OTU_F_136641,OTU_F_1435,OTU_F_50870,OTU_F_122647,OTU_F_110078
83,OTU_F_50870,OTU_F_99195,OTU_F_30502,OTU_F_99195,OTU_F_72950,OTU_F_129651,OTU_F_55643,OTU_F_38555,OTU_F_107945,OTU_F_1435,OTU_F_108778,OTU_F_107945,OTU_F_110078,OTU_F_30407,OTU_F_52653,OTU_F_30502,OTU_F_107945,OTU_F_122647,OTU_F_30395,OTU_F_110078,OTU_F_54660,OTU_B_123159,OTU_F_94989,OTU_F_136641,OTU_F_94989
84,OTU_F_122647,OTU_F_108778,OTU_F_108778,OTU_F_31301,OTU_F_130819,OTU_F_97887,OTU_F_108778,OTU_F_30553,OTU_F_30407,OTU_F_99195,OTU_F_31301,OTU_F_50870,OTU_F_1435,OTU_F_122647,OTU_F_52656,OTU_F_76464,OTU_B_57059,OTU_B_123159,OTU_F_50873,OTU_F_30942,OTU_F_107945,OTU_F_108778,OTU_F_21449,OTU_F_54660,OTU_B_59739
85,OTU_F_38555,OTU_F_122647,OTU_F_52656,OTU_B_59739,OTU_F_30553,OTU_F_52653,OTU_F_129651,OTU_F_31301,OTU_F_54660,OTU_F_68259,OTU_F_30407,OTU_F_130819,OTU_F_50873,OTU_F_62992,OTU_F_31301,OTU_B_416914,OTU_F_30925,OTU_F_130819,OTU_F_31301,OTU_F_50873,OTU_F_21449,OTU_F_55643,OTU_F_52653,OTU_B_416914,OTU_F_72950
86,OTU_F_21449,OTU_F_129651,OTU_F_50873,OTU_B_123159,OTU_F_37473,OTU_F_31301,OTU_B_38079,OTU_F_129651,OTU_F_108778,OTU_F_30925,OTU_F_30553,OTU_F_38555,OTU_F_50870,OTU_F_30553,OTU_F_21449,OTU_F_62992,OTU_F_110078,OTU_F_37473,OTU_F_108778,OTU_F_52656,OTU_F_52656,OTU_F_52653,OTU_F_130819,OTU_F_99195,OTU_F_30553
87,OTU_F_107945,OTU_F_31301,OTU_F_72950,OTU_F_37473,OTU_F_110078,OTU_F_108778,OTU_B_59739,OTU_F_52653,OTU_B_57059,OTU_B_123159,OTU_F_62992,OTU_F_37473,OTU_B_123159,OTU_F_30395,OTU_F_72950,OTU_F_30395,OTU_F_30553,OTU_F_50870,OTU_F_107945,OTU_F_76464,OTU_F_55643,OTU_F_72950,OTU_B_59739,OTU_F_30407,OTU_F_30395
88,OTU_F_129651,OTU_F_136641,OTU_F_30553,OTU_F_30395,OTU_F_52656,OTU_F_99195,OTU_B_123159,OTU_B_416914,OTU_F_38555,OTU_F_30395,OTU_B_123159,OTU_B_59739,OTU_F_129651,OTU_B_416914,OTU_F_107945,OTU_F_37473,OTU_F_99195,OTU_B_59739,OTU_F_30925,OTU_B_416914,OTU_F_68259,OTU_F_54660,OTU_F_122647,OTU_F_50873,OTU_F_52653
89,OTU_F_31350,OTU_F_37473,OTU_F_107945,OTU_F_30925,OTU_F_31301,OTU_B_59739,OTU_F_52653,OTU_B_26418,OTU_F_37473,OTU_F_55643,OTU_F_21449,OTU_F_30553,OTU_F_30942,OTU_F_129651,OTU_B_59739,OTU_F_52656,OTU_F_30407,OTU_F_30553,OTU_B_123159,OTU_F_37473,OTU_F_99195,OTU_F_107945,OTU_F_30925,OTU_F_50870,OTU_B_123159
90,OTU_B_123159,OTU_F_30925,OTU_B_57059,OTU_F_1435,OTU_F_50873,OTU_F_30925,OTU_F_136641,OTU_F_37473,OTU_F_30925,OTU_F_94989,OTU_F_107945,OTU_F_108778,OTU_B_170149,OTU_F_52656,OTU_F_130819,OTU_B_123159,OTU_F_94989,OTU_B_170149,OTU_F_21449,OTU_F_50870,OTU_F_30395,OTU_B_170149,OTU_B_26418,OTU_F_76464,OTU_F_107945
91,OTU_F_30395,OTU_B_123159,OTU_F_37473,OTU_F_30553,OTU_B_416914,OTU_F_30395,OTU_F_52656,OTU_F_76464,OTU_B_123159,OTU_B_59739,OTU_B_59739,OTU_F_54660,OTU_F_30395,OTU_F_21449,OTU_B_416914,OTU_F_72950,OTU_F_52653,OTU_F_30395,OTU_F_99195,OTU_F_136641,OTU_F_31301,OTU_F_52656,OTU_F_30395,OTU_F_72950,OTU_F_37473
92,OTU_F_72950,OTU_F_72950,OTU_F_38555,OTU_B_170149,OTU_B_123159,OTU_B_123159,OTU_F_130819,OTU_F_72950,OTU_F_52653,OTU_F_38555,OTU_F_30502,OTU_F_72950,OTU_F_76464,OTU_F_31301,OTU_F_110078,OTU_F_107945,OTU_B_123159,OTU_F_99195,OTU_F_76464,OTU_F_52653,OTU_F_30407,OTU_F_31301,OTU_F_31301,OTU_B_170149,OTU_F_122647
93,OTU_F_52653,OTU_F_30502,OTU_F_122647,OTU_F_94989,OTU_F_52653,OTU_F_37473,OTU_F_31301,OTU_F_136641,OTU_F_99195,OTU_F_30942,OTU_F_103950,OTU_F_30395,OTU_F_30925,OTU_F_107945,OTU_F_30502,OTU_F_94989,OTU_F_37473,OTU_F_72950,OTU_F_130819,OTU_B_123159,OTU_F_37473,OTU_F_129651,OTU_F_68259,OTU_B_123159,OTU_F_52656
94,OTU_F_62992,OTU_F_130819,OTU_F_136641,OTU_F_52653,OTU_F_30502,OTU_F_72950,OTU_B_416914,OTU_F_107945,OTU_F_72950,OTU_F_129651,OTU_F_72950,OTU_F_136641,OTU_F_31301,OTU_B_170149,OTU_F_54660,OTU_F_129651,OTU_F_21449,OTU_F_107945,OTU_B_59739,OTU_F_30925,OTU_F_129651,OTU_F_110078,OTU_F_52656,OTU_F_129651,OTU_F_130819
95,OTU_F_130819,OTU_F_30553,OTU_B_123159,OTU_F_107945,OTU_F_21449,OTU_F_107945,OTU_F_72950,OTU_B_59739,OTU_F_76464,OTU_F_108778,OTU_F_136641,OTU_F_68259,OTU_F_136641,OTU_F_30925,OTU_F_50870,OTU_F_52653,OTU_B_170149,OTU_F_108778,OTU_F_37473,OTU_F_72950,OTU_F_130819,OTU_F_76464,OTU_B_123159,OTU_F_52656,OTU_F_50870
96,OTU_F_37473,OTU_B_170149,OTU_F_94989,OTU_F_108778,OTU_F_38555,OTU_F_76464,OTU_F_50870,OTU_F_130819,OTU_F_52656,OTU_B_170149,OTU_F_30395,OTU_F_21449,OTU_F_72950,OTU_F_76464,OTU_F_30925,OTU_F_38555,OTU_F_129651,OTU_F_1435,OTU_F_122647,OTU_B_59739,OTU_B_59739,OTU_F_37473,OTU_F_72950,OTU_F_38555,OTU_B_170149
97,OTU_F_76464,OTU_B_59739,OTU_F_31350,OTU_F_52656,OTU_F_30925,OTU_B_170149,OTU_F_37473,OTU_F_52656,OTU_F_129651,OTU_F_37473,OTU_B_170149,OTU_B_123159,OTU_F_37473,OTU_F_99195,OTU_B_170149,OTU_F_136641,OTU_F_31301,OTU_F_136641,OTU_B_170149,OTU_F_130819,OTU_B_123159,OTU_F_30395,OTU_F_76464,OTU_F_94989,OTU_F_76464
98,OTU_F_30553,OTU_F_52656,OTU_F_76464,OTU_F_21449,OTU_B_170149,OTU_F_38555,OTU_F_30395,OTU_B_123159,OTU_F_31301,OTU_F_130819,OTU_F_52656,OTU_F_76464,OTU_F_38555,OTU_F_37473,OTU_B_123159,OTU_B_170149,OTU_F_130819,OTU_F_129651,OTU_F_72950,OTU_F_30395,OTU_F_76464,OTU_F_30553,OTU_F_129651,OTU_F_21449,OTU_F_38555
99,OTU_F_31301,OTU_F_30395,OTU_F_129651,OTU_F_130819,OTU_F_50870,OTU_F_52656,OTU_F_76464,OTU_F_50870,OTU_F_30395,OTU_F_76464,OTU_F_99195,OTU_B_170149,OTU_F_52656,OTU_F_72950,OTU_F_136641,OTU_F_30553,OTU_F_72950,OTU_F_52656,OTU_F_52656,OTU_B_170149,OTU_B_170149,OTU_F_21449,OTU_F_136641,OTU_F_30553,OTU_F_30925
100,OTU_B_170149,OTU_F_76464,OTU_F_31301,OTU_F_76464,OTU_F_136641,OTU_F_130819,OTU_B_170149,OTU_F_30395,OTU_F_30553,OTU_F_52656,OTU_F_76464,OTU_F_129651,OTU_F_130819,OTU_F_38555,OTU_F_76464,OTU_F_30925,OTU_F_76464,OTU_F_76464,OTU_F_129651,OTU_F_38555,OTU_F_30925,OTU_F_136641,OTU_B_170149,OTU_F_31301,OTU_F_31301
101,OTU_F_52656,OTU_F_38555,OTU_B_170149,OTU_F_72950,OTU_F_30395,OTU_F_136641,OTU_F_30553,OTU_B_170149,OTU_B_170149,OTU_F_21449,OTU_F_129651,OTU_F_122647,OTU_F_30553,OTU_F_130819,OTU_F_30395,OTU_F_31301,OTU_F_30395,OTU_F_21449,OTU_F_38555,OTU_F_30553,OTU_F_72950,OTU_F_130819,OTU_F_38555,OTU_F_37473,OTU_F_136641
