,MLPNN_Run_0_CV_0,MLPNN_Run_0_CV_1,MLPNN_Run_0_CV_2,MLPNN_Run_0_CV_3,MLPNN_Run_0_CV_4,MLPNN_Run_1_CV_0,MLPNN_Run_1_CV_1,MLPNN_Run_1_CV_2,MLPNN_Run_1_CV_3,MLPNN_Run_1_CV_4,MLPNN_Run_2_CV_0,MLPNN_Run_2_CV_1,MLPNN_Run_2_CV_2,MLPNN_Run_2_CV_3,MLPNN_Run_2_CV_4,MLPNN_Run_3_CV_0,MLPNN_Run_3_CV_1,MLPNN_Run_3_CV_2,MLPNN_Run_3_CV_3,MLPNN_Run_3_CV_4,MLPNN_Run_4_CV_0,MLPNN_Run_4_CV_1,MLPNN_Run_4_CV_2,MLPNN_Run_4_CV_3,MLPNN_Run_4_CV_4
32,OTU_B_38079,OTU_B_22182,OTU_B_40091,OTU_F_99195,OTU_F_25540,OTU_B_65162,OTU_F_110078,OTU_F_110078,OTU_F_30407,OTU_F_72950,OTU_B_21457,OTU_F_25850,OTU_F_40080,OTU_F_107945,OTU_F_40080,OTU_F_30407,OTU_F_1435,OTU_F_30854,OTU_F_99195,OTU_F_17467,OTU_B_14674,OTU_B_54487,OTU_B_22182,OTU_F_1435,OTU_F_38826
33,OTU_F_40080,OTU_F_68256,OTU_F_17467,OTU_F_62992,OTU_F_110078,OTU_F_38555,OTU_B_21457,OTU_B_54487,OTU_F_97887,OTU_F_23990,OTU_F_30407,OTU_B_56945,OTU_B_21457,OTU_F_30854,OTU_F_62992,OTU_F_40080,OTU_B_553579,OTU_B_15904,OTU_F_62992,OTU_B_57059,OTU_F_23990,OTU_F_38555,OTU_F_30448,OTU_F_30942,OTU_F_30854
34,OTU_F_31350,OTU_B_54487,OTU_F_103950,OTU_F_30486,OTU_F_1435,OTU_F_17467,OTU_F_72950,OTU_B_40091,OTU_F_38555,OTU_F_62992,OTU_B_140508,OTU_B_27711,OTU_F_52656,OTU_F_30395,OTU_B_54487,OTU_B_54487,OTU_F_31350,OTU_B_40091,OTU_F_30486,OTU_F_1435,OTU_F_54660,OTU_F_99195,OTU_F_30407,OTU_F_40080,OTU_B_140508
35,OTU_F_30942,OTU_B_15904,OTU_B_40226,OTU_F_30942,OTU_F_62992,OTU_F_1435,OTU_F_38555,OTU_B_14674,OTU_B_22182,OTU_F_122647,OTU_B_15904,OTU_F_30448,OTU_F_30486,OTU_F_122647,OTU_F_1435,OTU_B_67783,OTU_B_59739,OTU_F_30486,OTU_B_54487,OTU_F_38826,OTU_F_30407,OTU_B_40091,OTU_F_99195,OTU_B_40091,OTU_F_72950
36,OTU_F_17467,OTU_B_553579,OTU_B_21457,OTU_B_123159,OTU_F_38555,OTU_F_62992,OTU_F_23990,OTU_F_40080,OTU_F_55643,OTU_F_103950,OTU_F_122647,OTU_F_21449,OTU_B_59739,OTU_B_553579,OTU_F_72950,OTU_B_140508,OTU_F_107945,OTU_B_27711,OTU_F_17467,OTU_B_54487,OTU_B_67783,OTU_F_17467,OTU_F_38330,OTU_F_12349,OTU_F_62992
37,OTU_F_62992,OTU_F_40080,OTU_B_38079,OTU_B_27711,OTU_B_416914,OTU_F_103950,OTU_B_14674,OTU_F_62992,OTU_F_30942,OTU_F_31350,OTU_F_30854,OTU_F_62992,OTU_F_30407,OTU_F_72950,OTU_B_416914,OTU_B_29197,OTU_F_30942,OTU_F_68259,OTU_B_21457,OTU_F_62992,OTU_B_40226,OTU_F_30942,OTU_F_38826,OTU_F_17467,OTU_B_21457
38,OTU_B_15904,OTU_F_72950,OTU_B_27711,OTU_F_1551,OTU_F_38826,OTU_B_38079,OTU_F_38826,OTU_B_21457,OTU_B_553579,OTU_B_140508,OTU_F_30942,OTU_F_15700,OTU_F_130819,OTU_F_110078,OTU_F_103950,OTU_F_30942,OTU_B_40091,OTU_F_40080,OTU_F_30942,OTU_B_67783,OTU_F_31350,OTU_F_37473,OTU_F_1435,OTU_F_68259,OTU_F_30486
39,OTU_B_14674,OTU_B_29197,OTU_F_30942,OTU_F_68259,OTU_B_38079,OTU_F_110078,OTU_F_30942,OTU_B_416914,OTU_F_1435,OTU_B_40226,OTU_F_37473,OTU_F_25540,OTU_F_99195,OTU_B_67783,OTU_B_40226,OTU_F_122647,OTU_B_21457,OTU_B_38079,OTU_F_39466,OTU_F_122647,OTU_F_17467,OTU_B_15904,OTU_F_52656,OTU_F_30854,OTU_F_25540
40,OTU_F_52656,OTU_F_30942,OTU_B_22182,OTU_B_416914,OTU_F_52656,OTU_B_140508,OTU_F_122647,OTU_F_68259,OTU_F_68259,OTU_B_416914,OTU_F_72950,OTU_F_72950,OTU_B_40091,OTU_F_38826,OTU_F_30942,OTU_F_55643,OTU_F_25540,OTU_B_64987,OTU_B_65162,OTU_B_21457,OTU_F_110078,OTU_F_40080,OTU_F_25540,OTU_B_40226,OTU_B_67783
41,OTU_F_72950,OTU_F_12349,OTU_F_68259,OTU_F_1435,OTU_B_21457,OTU_B_40091,OTU_F_62992,OTU_B_553579,OTU_B_40091,OTU_B_170149,OTU_F_17467,OTU_B_40091,OTU_B_140508,OTU_F_30486,OTU_B_21457,OTU_B_15904,OTU_F_38826,OTU_B_416914,OTU_F_122647,OTU_B_27711,OTU_F_122647,OTU_F_30395,OTU_B_38079,OTU_F_103950,OTU_F_30407
