,SVM_Run_0_CV_0,SVM_Run_0_CV_1,SVM_Run_0_CV_2,SVM_Run_0_CV_3,SVM_Run_0_CV_4,SVM_Run_1_CV_0,SVM_Run_1_CV_1,SVM_Run_1_CV_2,SVM_Run_1_CV_3,SVM_Run_1_CV_4,SVM_Run_2_CV_0,SVM_Run_2_CV_1,SVM_Run_2_CV_2,SVM_Run_2_CV_3,SVM_Run_2_CV_4,SVM_Run_3_CV_0,SVM_Run_3_CV_1,SVM_Run_3_CV_2,SVM_Run_3_CV_3,SVM_Run_3_CV_4,SVM_Run_4_CV_0,SVM_Run_4_CV_1,SVM_Run_4_CV_2,SVM_Run_4_CV_3,SVM_Run_4_CV_4
10,OTU_B_40108,OTU_F_122647,OTU_F_39466,OTU_F_110078,OTU_F_56880,OTU_F_110078,OTU_F_25850,OTU_B_86805,OTU_F_39466,OTU_F_23990,OTU_F_30394,OTU_B_86805,OTU_F_21449,OTU_F_93747,OTU_F_56880,OTU_F_122647,OTU_F_21449,OTU_B_38079,OTU_F_30429,OTU_B_21457,OTU_F_39466,OTU_F_30394,OTU_B_21457,OTU_F_39466,OTU_F_23990
11,OTU_F_38826,OTU_F_38330,OTU_B_15904,OTU_F_30429,OTU_F_30394,OTU_F_122647,OTU_B_21457,OTU_F_17467,OTU_F_38330,OTU_F_30394,OTU_F_39466,OTU_F_30394,OTU_F_122647,OTU_F_39466,OTU_F_97887,OTU_F_38330,OTU_F_23990,OTU_F_93747,OTU_F_25053,OTU_F_39466,OTU_F_30394,OTU_B_86805,OTU_F_25850,OTU_F_25540,OTU_F_30429
12,OTU_F_25053,OTU_F_25540,OTU_B_553579,OTU_F_23990,OTU_B_21457,OTU_B_21457,OTU_F_56880,OTU_B_40108,OTU_F_25850,OTU_F_97887,OTU_F_97887,OTU_F_97887,OTU_F_151101,OTU_B_21457,OTU_F_30509,OTU_F_21449,OTU_F_30394,OTU_F_23990,OTU_B_22182,OTU_F_56880,OTU_B_40108,OTU_F_30407,OTU_F_93747,OTU_F_30394,OTU_B_40108
13,OTU_B_54487,OTU_F_30394,OTU_F_23990,OTU_F_97887,OTU_B_65162,OTU_F_21449,OTU_B_40108,OTU_F_38330,OTU_F_25053,OTU_B_86805,OTU_F_23990,OTU_F_23990,OTU_B_86805,OTU_F_25540,OTU_F_30394,OTU_F_25850,OTU_B_21457,OTU_B_65162,OTU_F_30509,OTU_F_23990,OTU_F_38330,OTU_F_30429,OTU_F_30429,OTU_B_40108,OTU_F_97887
14,OTU_F_39466,OTU_F_39466,OTU_F_122647,OTU_F_25850,OTU_F_97887,OTU_F_56880,OTU_F_39466,OTU_F_30509,OTU_F_23990,OTU_F_122647,OTU_F_56880,OTU_F_38826,OTU_F_38826,OTU_B_38079,OTU_F_122647,OTU_F_30394,OTU_B_38079,OTU_B_86805,OTU_F_30394,OTU_B_54487,OTU_F_56880,OTU_F_30509,OTU_F_30509,OTU_F_38330,OTU_B_86805
15,OTU_F_93747,OTU_F_97887,OTU_B_22182,OTU_F_122647,OTU_F_38826,OTU_F_97887,OTU_F_38330,OTU_F_55643,OTU_F_30394,OTU_B_65162,OTU_B_40108,OTU_B_40108,OTU_F_40614,OTU_F_17467,OTU_F_38330,OTU_F_97887,OTU_F_72950,OTU_F_110078,OTU_F_93747,OTU_B_15904,OTU_F_30509,OTU_F_38826,OTU_F_38826,OTU_F_30429,OTU_F_38330
16,OTU_F_23990,OTU_B_40108,OTU_F_25540,OTU_B_27711,OTU_F_122647,OTU_B_86805,OTU_B_67783,OTU_F_38826,OTU_F_72950,OTU_B_13461,OTU_F_38826,OTU_F_52191,OTU_B_21457,OTU_F_103950,OTU_F_30429,OTU_F_30509,OTU_F_110078,OTU_F_56880,OTU_B_416914,OTU_F_52191,OTU_B_21457,OTU_F_97887,OTU_F_39466,OTU_F_52191,OTU_F_122647
17,OTU_B_86805,OTU_B_22182,OTU_F_25850,OTU_F_30509,OTU_F_25850,OTU_F_30509,OTU_F_52656,OTU_B_54487,OTU_F_30509,OTU_B_40108,OTU_B_22182,OTU_F_110078,OTU_B_38079,OTU_F_38330,OTU_F_23990,OTU_F_30429,OTU_F_38826,OTU_F_21449,OTU_F_25850,OTU_F_25850,OTU_B_38079,OTU_F_23990,OTU_B_22182,OTU_F_122647,OTU_B_140508
18,OTU_F_30394,OTU_F_30509,OTU_B_73408,OTU_B_65162,OTU_B_40108,OTU_B_38079,OTU_F_38826,OTU_F_68256,OTU_F_52191,OTU_F_52653,OTU_F_30509,OTU_F_25540,OTU_F_56880,OTU_F_68256,OTU_F_72950,OTU_F_56880,OTU_F_30509,OTU_B_40226,OTU_B_54487,OTU_F_38330,OTU_F_55643,OTU_F_52191,OTU_F_99195,OTU_F_30509,OTU_F_30509
19,OTU_F_38330,OTU_F_25053,OTU_F_38330,OTU_F_55643,OTU_F_52191,OTU_B_15904,OTU_F_23990,OTU_F_97887,OTU_F_30407,OTU_F_38826,OTU_B_15904,OTU_F_25053,OTU_F_107945,OTU_B_15904,OTU_F_38826,OTU_B_40108,OTU_B_67783,OTU_F_30509,OTU_F_97887,OTU_B_22182,OTU_F_122647,OTU_F_62992,OTU_F_21449,OTU_F_25053,OTU_B_21457
